TrackNumber,DeliveryDate,Status,CustomerAddress,OrderNumber
81,2024-05-28,canceled,"9511 Davis Overpass Apt. 575
Gonzalezport, NH 61308",53
100,2024-06-05,canceled,"105 Scott Lock Suite 309
Catherinestad, PR 25770",51
77,2024-05-24,canceled,"279 Christopher Inlet
Andresside, WI 82149",58
91,2024-04-29,pending,"426 Hannah Springs Apt. 808
New Joannamouth, WI 04057",48
96,2024-05-04,delivered,"4515 Diana Expressway
Heathershire, AR 53464",44
73,2024-02-18,delivered,"8644 Burns Canyon
Lake Robert, DC 21359",66
79,2024-01-19,canceled,"3542 Rivas Crossing Apt. 452
West Adam, VT 59287",63
90,2024-08-16,delivered,"48186 Jake Drives Suite 968
West Travisshire, IA 30210",41
89,2024-06-27,canceled,"786 Abigail Dale
Martinfort, WY 36149",61
92,2024-01-18,canceled,"0840 Rush Brook
Dennistown, RI 60400",42
75,2024-08-20,pending,"6542 Olivia Stravenue
Shanehaven, OR 27338",64
99,2024-10-31,delivered,"83296 Gonzalez Vista Apt. 134
Lake William, OK 79901",52
71,2024-08-10,canceled,"109 Samantha Island Apt. 305
Lake Davidville, DC 92825",59
83,2024-03-05,delivered,"883 Carney Gardens
South Pamelaville, NC 10944",62
87,2024-05-06,delivered,"76967 Erica Courts
Whiteheadmouth, ME 09557",68
88,2024-03-03,delivered,"291 Daniel Lodge
Bretthaven, WI 88416",43
98,2024-10-19,canceled,"PSC 7935, Box 4690
APO AA 74304",56
86,2024-10-20,delivered,"884 Carol Mews Apt. 035
New Jamesfort, DE 02209",67
97,2024-06-18,delivered,"308 Alexander Groves Suite 341
South Michaelview, CT 51725",45
94,2024-08-30,canceled,"5445 Cheryl Crest
Lake Kyleton, VA 01389",65
84,2024-02-17,pending,"534 George Camp Apt. 480
Wrighttown, TN 88755",49
72,2024-01-16,pending,"70492 Carrie Radial Apt. 490
Smithburgh, RI 86565",70
82,2024-04-12,delivered,"0061 Ramirez Stravenue Suite 003
North Jenna, GA 66397",50
95,2024-09-08,canceled,"1079 Ellis Road Apt. 389
Port Brookechester, GU 14002",60
93,2024-06-15,canceled,"1128 Moore Prairie
Lopezhaven, IN 60774",57
80,2024-02-05,pending,"409 Harvey Turnpike
New Joshua, IA 94030",55
78,2024-07-17,pending,"811 Long Pass Suite 827
Port Austin, AK 49666",54
85,2024-07-22,delivered,"72458 Mckay Overpass
Williamberg, AL 94309",47
76,2024-04-13,canceled,"PSC 0479, Box 4472
APO AP 54683",46
74,2024-01-01,canceled,"219 Julie Junction Apt. 070
Port Bryan, CA 61099",69
